n,i,total_comparisons,elapsed_seconds
5,2,4,0.000936
6,2,5,0.002150
7,2,6,0.005185
8,2,7,0.014696
9,2,8,0.047712
10,2,9,0.159361
11,2,10,0.502915
12,2,11,1.415526
13,2,12,4.550612
14,2,13,14.227074
15,2,14,46.138599
16,2,15,194.902572

7,3,6,0.002827
8,3,7,0.019103
9,3,8,0.163329
6,0,5,0.000161
7,0,6,0.000210
7,3,6,0.002966
8,3,7,0.019532
9,3,8,0.171069
10,3,9,1.051125
11,3,10,8.443947
12,3,11,48.912173
13,3,12,424.945760
14,3,13,2401.862736
15,3,14,8221.266818
5,2,4,0.000304
6,2,5,0.000693
7,2,6,0.001605
8,2,7,0.005529
9,2,8,0.020829
10,2,9,0.067817
11,2,10,0.231622
12,2,11,0.729177
13,2,12,2.420609
14,2,13,7.640083
15,2,14,24.263351
16,2,15,70.679266
