n,i,total_comparisons
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
15,2,14
16,2,15
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
15,2,14
16,2,15
17,2,16
18,2,17
19,2,18
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
15,2,14
5,2,4
6,2,5
7,2,6
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,2,12
14,2,13
15,2,14
16,2,15
17,2,16
18,2,17
19,2,18
20,2,19
13,2,16
4,0,3
5,0,4
5,2,6
6,2,8
7,2,9
8,2,11
9,2,12
10,2,13
11,2,14
12,2,15
13,2,16
4,0,3
5,0,4
5,2,6
6,2,8
7,2,9
8,2,11
9,2,12
10,2,13
11,2,14
12,2,15
13,2,16
5,2,6
5,2,6
6,2,8
6,2,8
7,2,9
7,2,9
8,2,11
8,2,11
9,2,12
9,2,12
10,2,13
10,2,13
11,2,14
11,2,14
12,2,15
12,2,15
13,2,16
13,2,16
14,2,17
14,2,17
15,2,18
16,2,19
