n,i,h0_comparisons,h0_elapsed_seconds,h1_comparisons,h1_elapsed_seconds,h2_comparisons,h2_elapsed_seconds,h3_comparisons,h3_elapsed_seconds,h4_comparisons,h4_elapsed_seconds,h5_comparisons,h5_elapsed_seconds,h6_comparisons,h6_elapsed_seconds
5,2,4,0.000304,4,0.000298,4,0.000292,6,0.000355,6,0.000380,6,0.000358,4,0.000300
6,2,5,0.000693,5,0.000655,5,0.000551,7,0.000955,7,0.001054,8,0.000970,5,0.000928
7,2,6,0.001605,6,0.001639,6,0.001187,8,0.002796,9,0.004162,9,0.003211,6,0.001637
8,2,7,0.005529,7,0.005784,7,0.003153,9,0.011013,10,0.017390,11,0.013541,7,0.005662
9,2,8,0.020829,8,0.019723,8,0.010521,10,0.043332,11,0.074577,12,0.059035,8,0.020301
10,2,9,0.067817,9,0.070779,9,0.029173,11,0.154617,12,0.270455,13,0.209097,9,0.067565
11,2,10,0.231622,10,0.227815,10,0.096045,12,0.563003,13,1.214118,14,0.753439,10,0.228049
12,2,11,0.729177,11,0.737733,11,0.278518,13,1.929459,15,4.478899,15,2.942461,11,0.741516
13,2,12,2.420609,12,2.470910,12,0.864281,14,6.213287,16,17.200156,16,10.504871,12,2.352087
14,2,13,7.640083,13,7.329027,13,2.412486,15,20.817686,17,58.865011,17,35.121998,13,7.264763
15,2,14,24.263351,14,23.028298,14,7.175351,16,68.095997,18,230.129200,18,126.797311,14,23.255935
16,2,15,70.679266,15,76.688614,15,19.712309,17,218.113026,19,742.547285,19,412.716397,15,72.849751
runtime_sum,,,1m 46.1s,,1m 50.6s,,30.6s,,5m 15.9s,,17m 34.8s,,9m 49.1s,,1m 46.8s
mean_ratio_to_exact,,0.660,,0.660,,0.660,,0.821,,0.900,,0.936,,0.660,
